name,shortName,stationId,totalDocks,hasKiosk,hasKeyDispenser,rentalMethods,lon,lat
MIT at Mass Ave / Amherst St,M32006,f83493c0-0de8-11e7-991c-3863bb43a7d0,27,True,True,"['CREDITCARD', 'KEY']",-71.093198,42.3581
Central Square at Mass Ave / Essex St,M32011,f8349440-0de8-11e7-991c-3863bb43a7d0,19,True,True,"['CREDITCARD', 'KEY']",-71.1031,42.36507
Harvard Kennedy School at Bennett St / Eliot St,M32016,f834952a-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.12188071012497,42.3722168027866
One Broadway / Kendall Sq at Main St / 3rd St,M32003,f8349672-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.0831107199192,42.36224178650923
Harvard Square at Brattle St / Eliot St,M32017,f8349745-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.12098601080106,42.373328798874056
Harvard Square at Mass Ave/ Dunster,M32018,f83497b9-0de8-11e7-991c-3863bb43a7d0,19,True,True,"['CREDITCARD', 'KEY']",-71.118579,42.373268
Lafayette Square at Mass Ave / Main St / Columbia St,M32009,f8349824-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.10057324171066,42.36346469304347
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,M32012,f8349b20-0de8-11e7-991c-3863bb43a7d0,17,True,False,"['CREDITCARD', 'KEY']",-71.105495,42.366426
MIT Stata Center at Vassar St / Main St,M32005,f8349de4-0de8-11e7-991c-3863bb43a7d0,35,True,False,"['CREDITCARD', 'KEY']",-71.09115600585936,42.3621312344991
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,M32019,f834a1de-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.07679277658461,42.367074071490926
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,M32014,f834a3a0-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.114214,42.366621
Harvard Law School at Mass Ave / Jarvis St,M32020,f834a67b-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.119945,42.379011
One Kendall Square at Hampshire St / Portland St,M32002,f834a7d1-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.09169,42.366277
Cambridge St - at Columbia St / Webster Ave,M32007,f834ab92-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.094445,42.372969
Cambridge Main Library at Broadway / Trowbridge St,M32013,f834abfd-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.111075,42.373379
Harvard University River Houses at DeWolfe St / Cowperthwaite St,M32038,f834b101-0de8-11e7-991c-3863bb43a7d0,21,True,False,"['CREDITCARD', 'KEY']",-71.11687034368515,42.369239074859216
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,M32024,f834b652-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.125107,42.380287
Lower Cambridgeport at Magazine St / Riverside Rd,M32022,f834b8b3-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.1138716340065,42.357218503176526
Ames St at Main St,M32037,f834b99d-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.08822,42.3625
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,M32023,f834ba08-0de8-11e7-991c-3863bb43a7d0,16,True,False,"['CREDITCARD', 'KEY']",-71.116865,42.377945
Harvard University Gund Hall at Quincy St / Kirkland St,M32021,f834c5c9-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.114025,42.376369
Porter Square Station,M32029,f834cb89-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.119084,42.387995
359 Broadway - Broadway at Fayette Street,M32026,f834cf45-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.104412,42.370803
Binney St / Sixth St,M32027,f834cfd8-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.08633603909765,42.36608797388682
Linear Park - Mass. Ave. at Cameron Ave. ,M32025,f834d064-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.130516,42.397828
Dana Park,M32030,f834fb66-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.10809952020645,42.36178043960605
Danehy Park,M32031,f834fc57-0de8-11e7-991c-3863bb43a7d0,17,True,False,"['CREDITCARD', 'KEY']",-71.132788,42.388966
Kendall Street,M32032,f834fcbe-0de8-11e7-991c-3863bb43a7d0,17,True,False,"['CREDITCARD', 'KEY']",-71.08216792345047,42.36356015842989
Alewife Station at Russell Field,M32033,f834fd36-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.139459,42.396105
EF - North Point Park,M32034,f834fda2-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.069957,42.369885
Rogers St & Land Blvd,M32035,f834fede-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.07654601335526,42.366446738529454
Rindge Avenue - O'Neill Library,M32036,f834ff5a-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.129042,42.392766
Lesley University,M32039,f8351336-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.11901879310608,42.38674802045056
University Park,M32040,f83513a7-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.10006093978882,42.36264779118595
MIT Pacific St at Purrington St,M32041,f835141c-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.10129475593567,42.35957320109044
MIT Vassar St,M32042,f8351490-0de8-11e7-991c-3863bb43a7d0,53,True,False,"['CREDITCARD', 'KEY']",-71.10394477844238,42.35560121327927
Mt Auburn,M32043,f83514f9-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.13320231437683,42.37478628706384
Huron Ave At Vassal Lane,M32044,f8351569-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.13426981498378,42.381650612901176
Museum of Science,M32045,f83515d8-0de8-11e7-991c-3863bb43a7d0,19,True,True,"['CREDITCARD', 'KEY']",-71.07116281986237,42.36769018024484
Alewife MBTA at Steel Place,M32046,f8351649-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.14260613918304,42.39558845716709
Sidney Research Campus/Erie Street at Waverly,M32047,f83516b8-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.10393404960632,42.35775309465199
Third at Binney,M32048,f8351726-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.08277142047882,42.36544486137399
Kendall T,M32004,f8351e42-0de8-11e7-991c-3863bb43a7d0,23,True,True,"['CREDITCARD', 'KEY']",-71.08495473861694,42.3624278429124
Child Street at Brian P. Murphy Staircase,M32049,f83520d8-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.07200495972165,42.37197678467975
Verizon Innovation Hub 10 Ware Street,M32050,fbb9b58c-2b92-4bcf-8e4c-a982e40d2f39,19,True,False,"['CREDITCARD', 'KEY']",-71.11305356025696,42.37250864997261
Fresh Pond Reservation,M32051,1331197c-f6c6-4f4a-a29b-95e580359886,17,True,False,"['CREDITCARD', 'KEY']",-71.143478951426,42.38267827521855
Cambridge Dept. of Public Works -147 Hampshire St.,M32052,7560f0e3-267b-4fb3-bbfa-6e02010cfcb7,19,True,False,"['CREDITCARD', 'KEY']",-71.09759867191315,42.37119727759414
One Memorial Drive,M32053,a825b55d-3ab3-481f-9c50-d3a7313e6843,19,True,False,"['CREDITCARD', 'KEY']",-71.0804355052096,42.361619320766856
Ames St at Broadway,M32059,dd05a440-f881-410c-a071-864da11c634a,18,True,False,"['CREDITCARD', 'KEY']",-71.0875672,42.3636929
84 Cambridgepark Dr,M32058,bd3d4824-7203-4edc-a314-cea2b413e886,16,True,False,"['CREDITCARD', 'KEY']",-71.143941,42.3936
699 Mt Auburn St,M32054,93381e13-cd04-4e10-ac81-9f5926aa01d5,19,True,False,"['CREDITCARD', 'KEY']",-71.14871613699506,42.37500235137831
Mass Ave at Hadley/Walden,M32056,1e3beeb4-f8e1-452c-93e5-48df78d4b313,18,True,False,"['CREDITCARD', 'KEY']",-71.12260755160605,42.39120971915856
Harvard St at Greene-Rose Heritage Park,M32055,70f20fcb-8e63-4015-9007-b97c525ab0a9,19,True,False,"['CREDITCARD', 'KEY']",-71.09522221614498,42.36599432867437
Vassal Lane at Tobin/VLUS,M32057,02a4416f-80b4-4472-accd-5db482ed5b6d,19,True,False,"['CREDITCARD', 'KEY']",-71.13775670528412,42.38536765218425
700 Huron Ave,M32060,9e9be067-c6bb-41de-9491-eda69d24d6de,19,True,False,"['CREDITCARD', 'KEY']",-71.15412890911102,42.380788172914286
Mass Ave at Albany St,M32061,f6df6c1a-064f-428a-951c-2069a081b9df,16,True,False,"['CREDITCARD', 'KEY']",-71.09670273977825,42.36135837662249
Inman Square at Springfield St.,M32062,2104f242-2dde-4ec0-8197-4454b1021ac1,25,True,False,"['CREDITCARD', 'KEY']",-71.10026478767395,42.37426713524931
Sennott Park Broadway at Norfolk Street,M32063,5bc7cba9-f0b0-442d-932c-e8c7927d87ce,19,True,False,"['CREDITCARD', 'KEY']",-71.09930185605663,42.36860524248197
75 Binney St,M32064,133d159e-a202-4310-910f-eca392fe181e,19,True,False,"['CREDITCARD', 'KEY']",-71.0801375997653,42.36550728505653
Kennedy-Longfellow School 158 Spring St,M32065,9ca92778-9101-48df-90ea-08b784e26a1a,19,True,False,"['CREDITCARD', 'KEY']",-71.08579014980933,42.36955297756508
Discovery Park - 30 Acorn Park Drive,M32066,8347c34d-68df-404b-ac58-7a387cc3ce4b,23,True,False,"['CREDITCARD', 'KEY']",-71.14797130814623,42.39790817368333
Berkshire Street at Cambridge Street,M32067,9fef6df2-7f8f-43fc-a85b-7dd5453860f9,19,True,False,"['CREDITCARD', 'KEY']",-71.08995433905875,42.37207657915397
Graham and Parks School â€“ Linnaean St at Walker St,M32068,f606593b-3d07-40f2-bc6d-a0eb96588e44,19,True,False,"['CREDITCARD', 'KEY']",-71.12449831038248,42.38294430172271
Smith Pl at Wilson Rd,M32069,38706d8c-8d4b-49f7-b6ed-7688449db261,19,True,False,"['CREDITCARD', 'KEY']",-71.15058331757609,42.39239749145834
MIT Carleton St at Amherst St,M32070,f1cafe36-f800-41f6-b74d-73953cb6394c,27,True,False,"['CREDITCARD', 'KEY']",-71.08669817447662,42.36054174140606
MIT Hayward St at Amherst St,M32071,533620e8-00ff-494a-b288-bd67602bc98e,27,True,False,"['CREDITCARD', 'KEY']",-71.08551858007559,42.36085937353302
Galileo Galilei Way at Main Street,M32072,13918b3b-9ac5-4968-a74d-e40dd3bc952e,19,True,False,"['CREDITCARD', 'KEY']",-71.08974037706501,42.363003781560096
955 Mass Ave,M32073,00802fe6-4268-4dc8-8f55-0dbbc1665ce6,19,True,False,"['CREDITCARD', 'KEY']",-71.10998779535294,42.36895180540729
Concord Ave at Spinelli Place,M32074,940638c5-7cd0-4a11-899e-86af3868d400,19,True,False,"['CREDITCARD', 'KEY']",-71.1538877,42.390719
Danehy Park at New Street,M32075,a9d13461-7f0f-47b0-9a97-8ec9e9792865,19,True,False,"['CREDITCARD', 'KEY']",-71.139019,42.389456
Old Morse Park at Putnam Ave,M32076,dede6d5f-7d62-496e-a8ca-d5a64afe39c1,15,True,False,"['CREDITCARD', 'KEY']",-71.1084133386612,42.35766247889882
Cambridge Crossing at North First Street,M32077,fe90d430-d33f-48b2-a5cd-bc161b220939,23,True,False,"['CREDITCARD', 'KEY']",-71.076198,42.371141
Galileo Galilei Way at Fulkerson St/Binney St,M32078,dcd76e42-eebc-4432-9726-cdb3372b0b07,19,True,False,"['CREDITCARD', 'KEY']",-71.0885418,42.3664204
Raymond Park at Walden St,M32079,ff938129-8179-455c-9ac9-9fcb9fc0b6d5,19,True,False,"['CREDITCARD', 'KEY']",-71.12761001482795,42.38736953747185
Main Street/Albany Street/Technology Square,M32080,0208190e-851c-417d-8bc7-1b218db97fbf,23,True,False,"['CREDITCARD', 'KEY']",-71.0915669,42.3629016
Gore Street at Lambert Street,M32081,f9524971-e9f9-4572-aebc-580e48de042f,19,True,False,"['CREDITCARD', 'KEY']",-71.08634233665725,42.373079797934935
Broad Canal Way at Third Street,M32082,2d32e355-faee-407b-9bb7-45d80ffb059a,19,True,False,"['CREDITCARD', 'KEY']",-71.08287078916874,42.36304549626695
John Ahern Field at Kennedy-Longfellow School,M32083,93911aa1-b5e4-48aa-a2b6-38fbcf613006,19,True,False,"['CREDITCARD', 'KEY']",-71.08630959910442,42.36903566594827
87-101 Cambridgepark Drive,M32084,abefafdc-c772-4671-86fe-fc15a42adebb,23,True,False,"['CREDITCARD', 'KEY']",-71.14421904097979,42.39522187031066
Mass Ave/Lafayette Square,M32085,986068c4-d11a-465a-b8d0-bd0960c57f51,15,True,False,"['CREDITCARD', 'KEY']",-71.10044184048091,42.36356498989399
